identifica,xCentroid,yCentroid
"0344100000009109",131819.363,456180.126
"0344100000010436",132709.918,455561.417
"0344100000008696",132014.280,455454.984
"0344100000008697",132021.463,455454.417
"0344100000008191",132585.934,455698.663
"0344100000007733",132390.888,455658.725
"0344100000007262",131324.208,456193.784
"0344100000008195",131676.341,456055.887
"0344100000009558",131331.750,455876.358
"0344100000009587",132744.213,455631.092
"0344100000008204",132897.227,455811.252
"0344100000008205",132902.184,455811.329
"0344100000009559",131337.829,455877.591
"0344100000008213",131363.456,456380.927
"0344100000010461",132610.986,455863.859
"0344100000008719",131867.297,455821.133
"0344100000009580",132182.803,455931.166
"0344100000010850",131217.930,456483.918
"0344100000008728",131719.824,456662.239
"0344100000007755",131881.986,455847.134
"0344100000008732",132388.511,456253.099
"0344100000007303",131446.612,455917.606
"0344100000007304",131440.222,455917.861
"0344100000007758",132462.405,455705.324
"0344100000010038",131318.385,456630.312
"0344100000011342",132281.808,456406.474
"0344100000010879",132508.436,456161.835
"0344100000010488",132287.485,456381.786
"0344100000008244",132809.995,455804.941
"0344100000008751",132496.238,455599.318
"0344100000007773",131331.835,456703.499
"0344100000008249",131182.543,456278.518
"0344100000008753",132616.165,455425.279
"0344100000008754",132615.459,455419.531
"0344100000008256",132810.003,455622.956
"0344100000008257",132810.012,455618.003
"0344100000007786",132001.334,455806.319
"0344100000007326",132612.893,455836.099
"0344100000011381",132212.532,455959.819
"0344100000011382",132207.231,455957.557
"0344100000008280",132019.461,456168.808
"0344100000009197",132639.893,455836.104
"0344100000010524",131793.574,455787.136
"0344100000008779",131745.111,455846.594
"0344100000011390",131357.549,456545.461
"0344100000008281",132013.875,456168.907
"0344100000010536",132142.934,455892.393
"0344100000009650",132393.610,455427.695
"0344100000009651",132387.088,455428.353
"0344100000010929",132958.438,455793.515
"0344100000007828",131534.897,457038.618
"0344100000011414",131439.760,455875.571
"0344100000011415",131433.280,455875.186
"0344100000010100",132785.313,455900.905
"0344100000009666",132690.189,455367.629
"0344100000007837",131435.246,456375.163
"0344100000009667",132695.659,455367.544
"0344100000010113",131798.974,455787.136
"0344100000011870",132279.752,456162.722
"0344100000010951",132584.484,456140.155
"0344100000009243",132273.221,455566.733
"0344100000009244",132273.468,455555.036
"0344100000010961",132939.956,455745.303
"0344100000009680",131704.928,455917.136
"0344100000008836",132807.022,455528.522
"0344100000008338",132460.911,455764.374
"0344100000010971",131387.031,455917.720
"0344100000009268",131316.457,456221.848
"0344100000009701",132612.923,455802.953
"0344100000009702",132607.301,455802.946
"0344100000011902",132904.516,455434.726
"0344100000010152",132162.289,456220.771
"0344100000009279",131997.533,456160.284
"0344100000011906",131848.926,455949.432
"0344100000010160",131198.944,456328.442
"0344100000010609",132684.999,455703.321
"0344100000011907",132093.044,455999.858
"0344100000011912",132036.236,455947.618
"0344100000009287",132163.780,456191.075
"0344100000013343",132146.941,455912.232
"0344100000013344",132154.673,455904.825
"0344100000012359",131302.133,455914.050
"0344100000011474",131360.510,456541.461
"0344100000010999",132771.259,455560.537
"0344100000010167",132498.352,455298.922
"0344100000012860",132513.159,455819.032
"0344100000011925",131755.313,455820.786
"0344100000012867",131778.238,455508.246
"0344100000009720",131475.336,455918.000
"0344100000011014",132297.159,455397.353
"0344100000012870",132508.106,455816.545
"0344100000012875",132773.539,455733.979
"0344100000012877",132435.035,455711.117
"0344100000009311",132314.774,456466.298
"0344100000010636",132540.038,455600.551
"0344100000009743",132046.886,456015.770
"0344100000012883",132518.116,455559.254
"0344100000011027",132183.117,456253.539
"0344100000013374",131929.275,455703.952
"0344100000010195",132095.251,455456.576
"0344100000009318",132030.261,456140.800
"0344100000009323",132535.384,455693.575
"0344100000012893",132733.296,455955.380
"0344100000012894",132789.888,455951.925
"0344100000012908",132936.365,455741.097
"0344100000009336",131750.002,456082.651
"0344100000010660",131145.786,456298.462
"0344100000013396",131394.476,456268.527
"0344100000009765",132203.543,455977.428
"0344100000009766",132200.306,455987.742
"0344100000012419",131830.801,455916.215
"0344100000010675",131844.100,455616.473
"0344100000012438",131340.513,456575.718
"0344100000012434",131997.535,456057.136
"0344100000013856",132660.254,455822.247
"0344100000009800",131170.768,456240.121
"0344100000010269",132571.216,456187.327
"0344100000011089",131332.697,456589.908
"0344100000011572",131281.790,456043.258
"0344100000013440",132401.688,455658.718
"0344100000011579",132568.714,456093.236
"0344100000009823",131141.801,456255.559
"0344100000012026",131876.994,456778.859
"0344100000012968",132212.575,456068.903
"0344100000012030",132402.058,456061.270
"0344100000012031",132402.431,456054.683
"0344100000011118",132841.850,455729.669
"0344100000010294",131926.268,456160.293
"0344100000011119",132841.806,455724.600
"0344100000011608",131963.881,455818.324
"0344100000014340",132361.990,455626.193
"0344100000014341",132867.490,455891.213
"0344100000011617",132593.938,456102.926
"0344100000012048",132737.893,455792.886
"0344100000012496",132359.182,456257.566
"0344100000011631",131647.779,455915.313
"0344100000012055",131745.545,456392.336
"0344100000013928",132287.993,456031.686
"0344100000013929",132287.619,456038.301
"0344100000014360",131870.009,456683.013
"0344100000010332",131967.571,455956.739
"0344100000010765",131440.093,456365.342
"0344100000011643",131331.868,456003.038
"0344100000011148",132087.883,455457.262
"0344100000013020",132369.466,456516.860
"0344100000011648",132622.378,455674.691
"0344100000012516",132435.031,455744.867
"0344100000013021",132360.882,456509.917
"0344100000012526",132240.592,456384.481
"0344100000012531",131817.749,455878.011
"0344100000014381",131160.363,456340.172
"0344100000013520",132106.060,455905.870
"0344100000014841",132421.969,456315.184
"0344100000014842",131200.817,456208.310
"0344100000013525",131280.290,456833.143
